Plate         	Well	Group	Type   	Sample     	Wavelength	Abs  	Meas. Time [s]
T3_screen_ctrl	 A01	Assay	Unknown	Un_0001 1/1	620       	0.036	0.000         
T3_screen_ctrl	 B01	Assay	Unknown	Un_0002 1/1	620       	0.036	0.750         
T3_screen_ctrl	 C01	Assay	Unknown	Un_0003 1/1	620       	0.069	1.300         
T3_screen_ctrl	 D01	Assay	Unknown	Un_0004 1/1	620       	0.038	2.050         
T3_screen_ctrl	 E01	Assay	Unknown	Un_0005 1/1	620       	0.036	2.600         
T3_screen_ctrl	 F01	Assay	Unknown	Un_0006 1/1	620       	0.036	3.350         
T3_screen_ctrl	 G01	Assay	Unknown	Un_0007 1/1	620       	0.036	3.900         
T3_screen_ctrl	 H01	Assay	Unknown	Un_0008 1/1	620       	0.036	4.650         
T3_screen_ctrl	 I01	Assay	Unknown	Un_0009 1/1	620       	0.036	5.200         
T3_screen_ctrl	 J01	Assay	Unknown	Un_0010 1/1	620       	0.036	5.950         
T3_screen_ctrl	 K01	Assay	Unknown	Un_0011 1/1	620       	0.036	6.500         
T3_screen_ctrl	 L01	Assay	Unknown	Un_0012 1/1	620       	0.038	7.250         
T3_screen_ctrl	 M01	Assay	Unknown	Un_0013 1/1	620       	0.036	7.810         
T3_screen_ctrl	 N01	Assay	Unknown	Un_0014 1/1	620       	0.040	8.550         
T3_screen_ctrl	 O01	Assay	Unknown	Un_0015 1/1	620       	0.038	9.110         
T3_screen_ctrl	 P01	Assay	Unknown	Un_0016 1/1	620       	0.038	9.850         
T3_screen_ctrl	 A02	Assay	Unknown	Un_0017 1/1	620       	0.037	0.010         
T3_screen_ctrl	 B02	Assay	Unknown	Un_0018 1/1	620       	0.043	0.740         
T3_screen_ctrl	 C02	Assay	Unknown	Un_0019 1/1	620       	0.051	1.310         
T3_screen_ctrl	 D02	Assay	Unknown	Un_0020 1/1	620       	0.042	2.040         
T3_screen_ctrl	 E02	Assay	Unknown	Un_0021 1/1	620       	0.043	2.610         
