Plate           	Well	Group	Type   	Sample     	Wavelength	Abs  	Meas. Time [s]
T5.2_screen_expt	 E05	Assay	Unknown	Un_0069 1/1	620       	0.136	2.640         
T5.2_screen_expt	 F05	Assay	Unknown	Un_0070 1/1	620       	0.143	3.310         
T5.2_screen_expt	 G05	Assay	Unknown	Un_0071 1/1	620       	0.061	3.940         
T5.2_screen_expt	 H05	Assay	Unknown	Un_0072 1/1	620       	0.114	4.610         
T5.2_screen_expt	 I05	Assay	Unknown	Un_0073 1/1	620       	0.054	5.240         
T5.2_screen_expt	 J05	Assay	Unknown	Un_0074 1/1	620       	0.122	5.910         
T5.2_screen_expt	 K05	Assay	Unknown	Un_0075 1/1	620       	0.071	6.540         
T5.2_screen_expt	 L05	Assay	Unknown	Un_0076 1/1	620       	0.120	7.210         
T5.2_screen_expt	 M05	Assay	Unknown	Un_0077 1/1	620       	0.141	7.840         
T5.2_screen_expt	 N05	Assay	Unknown	Un_0078 1/1	620       	0.140	8.510         
T5.2_screen_expt	 O05	Assay	Unknown	Un_0079 1/1	620       	0.042	9.140         
T5.2_screen_expt	 P05	Assay	Unknown	Un_0080 1/1	620       	0.038	9.810         
T5.2_screen_expt	 A06	Assay	Unknown	Un_0081 1/1	620       	0.037	0.060         
T5.2_screen_expt	 B06	Assay	Unknown	Un_0082 1/1	620       	0.248	0.700         
T5.2_screen_expt	 C06	Assay	Unknown	Un_0083 1/1	620       	0.265	1.350         
T5.2_screen_expt	 D06	Assay	Unknown	Un_0084 1/1	620       	0.255	1.990         
T5.2_screen_expt	 E06	Assay	Unknown	Un_0085 1/1	620       	0.272	2.650         
T5.2_screen_expt	 F06	Assay	Unknown	Un_0086 1/1	620       	0.289	3.300         
T5.2_screen_expt	 G06	Assay	Unknown	Un_0087 1/1	620       	0.294	3.950         
T5.2_screen_expt	 H06	Assay	Unknown	Un_0088 1/1	620       	0.288	4.600         
T5.2_screen_expt	 I06	Assay	Unknown	Un_0089 1/1	620       	0.315	5.250         
T5.2_screen_expt	 J06	Assay	Unknown	Un_0090 1/1	620       	0.298	5.900         
T5.2_screen_expt	 K06	Assay	Unknown	Un_0091 1/1	620       	0.315	6.550         
T5.2_screen_expt	 L06	Assay	Unknown	Un_0092 1/1	620       	0.316	7.200         
T5.2_screen_expt	 M06	Assay	Unknown	Un_0093 1/1	620       	0.322	7.850         
T5.2_screen_expt	 N06	Assay	Unknown	Un_0094 1/1	620       	0.319	8.500         
T5.2_screen_expt	 O06	Assay	Unknown	Un_0095 1/1	620       	0.314	9.150         
T5.2_screen_expt	 P06	Assay	Unknown	Un_0096 1/1	620       	0.037	9.800         
T5.2_screen_expt	 A07	Assay	Unknown	Un_0097 1/1	620       	0.038	0.070         
T5.2_screen_expt	 B07	Assay	Unknown	Un_0098 1/1	620       	0.158	0.690         
T5.2_screen_expt	 C07	Assay	Unknown	Un_0099 1/1	620       	0.144	1.360         
T5.2_screen_expt	 D07	Assay	Unknown	Un_0100 1/1	620       	0.137	1.980         
T5.2_screen_expt	 E07	Assay	Unknown	Un_0101 1/1	620       	0.073	2.660         
T5.2_screen_expt	 F07	Assay	Unknown	Un_0102 1/1	620       	0.060	3.290         
T5.2_screen_expt	 G07	Assay	Unknown	Un_0103 1/1	620       	0.115	3.960         
T5.2_screen_expt	 H07	Assay	Unknown	Un_0104 1/1	620       	0.092	4.590         
T5.2_screen_expt	 I07	Assay	Unknown	Un_0105 1/1	620       	0.143	5.260         
T5.2_screen_expt	 J07	Assay	Unknown	Un_0106 1/1	620       	0.133	5.890         
T5.2_screen_expt	 K07	Assay	Unknown	Un_0107 1/1	620       	0.137	6.560         
T5.2_screen_expt	 L07	Assay	Unknown	Un_0108 1/1	620       	0.130	7.190         
T5.2_screen_expt	 M07	Assay	Unknown	Un_0109 1/1	620       	0.118	7.860         
T5.2_screen_expt	 N07	Assay	Unknown	Un_0110 1/1	620       	0.114	8.490         
T5.2_screen_expt	 O07	Assay	Unknown	Un_0111 1/1	620       	0.141	9.160         
T5.2_screen_expt	 P07	Assay	Unknown	Un_0112 1/1	620       	0.038	9.790         
T5.2_screen_expt	 A08	Assay	Unknown	Un_0113 1/1	620       	0.038	0.080         
T5.2_screen_expt	 B08	Assay	Unknown	Un_0114 1/1	620       	0.145	0.680         
T5.2_screen_expt	 C08	Assay	Unknown	Un_0115 1/1	620       	0.154	1.370         
T5.2_screen_expt	 D08	Assay	Unknown	Un_0116 1/1	620       	0.043	1.970         
T5.2_screen_expt	 E08	Assay	Unknown	Un_0117 1/1	620       	0.134	2.670         
T5.2_screen_expt	 F08	Assay	Unknown	Un_0118 1/1	620       	0.139	3.280         
