S1,Vj.fit,se
Cereus,0.21540703761356,0.015721273410048
Megaterium,0.039209827139753,0.010436029441103
Mojavensis,1.66076245427077,0.075335921945488
Polymyxa,0.184582447113348,0.019851865074649
Subtilis,1.21002084843084,0.131707421607644
Thuringiensis,7.61162037062001,0.271719777861562
licheniformis,0.728598949786356,0.029773590371711
