"","source"
"1","H03"
"2","H03"
"3","H03"
"4","H03"
"5","H01"
"6","H01"
"7","H01"
"8","H01"
"9","G10"
"10","G10"
"11","G10"
"12","G10"
"13","G04"
"14","G04"
"15","G04"
"16","G04"
"17","G02"
"18","G02"
"19","G02"
"20","G02"
"21","F10"
"22","F10"
"23","F10"
"24","F10"
"25","G03"
"26","G03"
"27","G03"
"28","G03"
"29","G09"
"30","G09"
"31","G09"
"32","G09"
"33","F09"
"34","F09"
"35","F09"
"36","F09"
"37","G01"
"38","G01"
"39","G01"
"40","G01"
"41","F04"
"42","F04"
"43","F04"
"44","F04"
"45","F02"
"46","F02"
"47","F02"
"48","F02"
"49","E10"
"50","E10"
"51","E10"
"52","E10"
"53","G11"
"54","G11"
"55","G11"
"56","G11"
"57","G12"
"58","G12"
"59","G12"
"60","G12"
"61","F03"
"62","F03"
"63","F03"
"64","F03"
"65","F01"
"66","F01"
"67","F01"
"68","F01"
"69","E09"
"70","E09"
"71","E09"
"72","E09"
"73","E04"
"74","E04"
"75","E04"
"76","E04"
"77","H05"
"78","H05"
"79","H05"
"80","H05"
"81","D10"
"82","D10"
"83","D10"
"84","D10"
"85","E02"
"86","E02"
"87","E02"
"88","E02"
"89","F07"
"90","F07"
"91","F07"
"92","F07"
"93","E11"
"94","E11"
"95","E11"
"96","E11"
