"well" "media" "inoc" "row" "col"
"145" "A10" "B" FALSE 1 "10"
"146" "B10" "A04" TRUE 2 "10"
"147" "C10" "B03" TRUE 3 "10"
"148" "D10" "B04" TRUE 4 "10"
"149" "E10" "C03" TRUE 5 "10"
"150" "F10" "C04" TRUE 6 "10"
"151" "G10" "D03" TRUE 7 "10"
"152" "H10" "D04" TRUE 8 "10"
"153" "I10" "E03" TRUE 9 "10"
"154" "J10" "E04" TRUE 10 "10"
"155" "K10" "F03" TRUE 11 "10"
"156" "L10" "F04" TRUE 12 "10"
"157" "M10" "G03" TRUE 13 "10"
"158" "N10" "G04" TRUE 14 "10"
"159" "O10" "H03" TRUE 15 "10"
"160" "P10" "B" FALSE 16 "10"
"161" "A11" "B" FALSE 1 "11"
"162" "B11" "A01" TRUE 2 "11"
"163" "C11" "H02" TRUE 3 "11"
"164" "D11" "A03" TRUE 4 "11"
"165" "E11" "H04" TRUE 5 "11"
"166" "F11" "A05" TRUE 6 "11"
"167" "G11" "H06" TRUE 7 "11"
"168" "H11" "A07" TRUE 8 "11"
"169" "I11" "H08" TRUE 9 "11"
"170" "J11" "A09" TRUE 10 "11"
"171" "K11" "H10" TRUE 11 "11"
"172" "L11" "A11" TRUE 12 "11"
"173" "M11" "H12" TRUE 13 "11"
"174" "N11" "M9g" TRUE 14 "11"
"175" "O11" "M9g" TRUE 15 "11"
"176" "P11" "M9g" FALSE 16 "11"
"177" "A12" "B" FALSE 1 "12"
"178" "B12" "A06" TRUE 2 "12"
"179" "C12" "B05" TRUE 3 "12"
"180" "D12" "B06" TRUE 4 "12"
"181" "E12" "C05" TRUE 5 "12"
"182" "F12" "C06" TRUE 6 "12"
"183" "G12" "D05" TRUE 7 "12"
"184" "H12" "D06" TRUE 8 "12"
"185" "I12" "E05" TRUE 9 "12"
"186" "J12" "E06" TRUE 10 "12"
"187" "K12" "F05" TRUE 11 "12"
"188" "L12" "F06" TRUE 12 "12"
"189" "M12" "G05" TRUE 13 "12"
"190" "N12" "G06" TRUE 14 "12"
"191" "O12" "H05" TRUE 15 "12"
"192" "P12" "B" FALSE 16 "12"
"193" "A13" "B" FALSE 1 "13"
"194" "B13" "A02" TRUE 2 "13"
"195" "C13" "B01" TRUE 3 "13"
"196" "D13" "B02" TRUE 4 "13"
"197" "E13" "C01" TRUE 5 "13"
"198" "F13" "C02" TRUE 6 "13"
"199" "G13" "D01" TRUE 7 "13"
"200" "H13" "D02" TRUE 8 "13"
"201" "I13" "E01" TRUE 9 "13"
"202" "J13" "E02" TRUE 10 "13"
"203" "K13" "F01" TRUE 11 "13"
"204" "L13" "F02" TRUE 12 "13"
"205" "M13" "G01" TRUE 13 "13"
"206" "N13" "G02" TRUE 14 "13"
"207" "O13" "H01" TRUE 15 "13"
"208" "P13" "B" FALSE 16 "13"
"209" "A14" "B" FALSE 1 "14"
"210" "B14" "A04" TRUE 2 "14"
"211" "C14" "B03" TRUE 3 "14"
"212" "D14" "B04" TRUE 4 "14"
"213" "E14" "C03" TRUE 5 "14"
"214" "F14" "C04" TRUE 6 "14"
"215" "G14" "D03" TRUE 7 "14"
"216" "H14" "D04" TRUE 8 "14"
"217" "I14" "E03" TRUE 9 "14"
"218" "J14" "E04" TRUE 10 "14"
"219" "K14" "F03" TRUE 11 "14"
"220" "L14" "F04" TRUE 12 "14"
"221" "M14" "G03" TRUE 13 "14"
"222" "N14" "G04" TRUE 14 "14"
"223" "O14" "H03" TRUE 15 "14"
"224" "P14" "B" FALSE 16 "14"
"225" "A15" "B" FALSE 1 "15"
"226" "B15" "A12" TRUE 2 "15"
"227" "C15" "B11" TRUE 3 "15"
"228" "D15" "B12" TRUE 4 "15"
"229" "E15" "C11" TRUE 5 "15"
"230" "F15" "C12" TRUE 6 "15"
"231" "G15" "D11" TRUE 7 "15"
"232" "H15" "D12" TRUE 8 "15"
"233" "I15" "E11" TRUE 9 "15"
"234" "J15" "E12" TRUE 10 "15"
"235" "K15" "F11" TRUE 11 "15"
"236" "L15" "F12" TRUE 12 "15"
"237" "M15" "G11" TRUE 13 "15"
"238" "N15" "G12" TRUE 14 "15"
"239" "O15" "H11" TRUE 15 "15"
"240" "P15" "B" FALSE 16 "15"
"241" "A16" "B" FALSE 1 "16"
"242" "B16" "A08" TRUE 2 "16"
"243" "C16" "B07" TRUE 3 "16"
"244" "D16" "B08" TRUE 4 "16"
"245" "E16" "C07" TRUE 5 "16"
"246" "F16" "C08" TRUE 6 "16"
"247" "G16" "D07" TRUE 7 "16"
"248" "H16" "D08" TRUE 8 "16"
"249" "I16" "E07" TRUE 9 "16"
"250" "J16" "E08" TRUE 10 "16"
"251" "K16" "F07" TRUE 11 "16"
"252" "L16" "F08" TRUE 12 "16"
"253" "M16" "G07" TRUE 13 "16"
"254" "N16" "G08" TRUE 14 "16"
"255" "O16" "H07" TRUE 15 "16"
"256" "P16" "B" FALSE 16 "16"
"257" "A17" "B" FALSE 1 "17"
"258" "B17" "A02" TRUE 2 "17"
"259" "C17" "B01" TRUE 3 "17"
"260" "D17" "B02" TRUE 4 "17"
"261" "E17" "C01" TRUE 5 "17"
"262" "F17" "C02" TRUE 6 "17"
"263" "G17" "D01" TRUE 7 "17"
"264" "H17" "D02" TRUE 8 "17"
"265" "I17" "E01" TRUE 9 "17"
"266" "J17" "E02" TRUE 10 "17"
"267" "K17" "F01" TRUE 11 "17"
"268" "L17" "F02" TRUE 12 "17"
"269" "M17" "G01" TRUE 13 "17"
"270" "N17" "G02" TRUE 14 "17"
"271" "O17" "H01" TRUE 15 "17"
"272" "P17" "B" FALSE 16 "17"
"273" "A18" "B" FALSE 1 "18"
"274" "B18" "A06" TRUE 2 "18"
"275" "C18" "B05" TRUE 3 "18"
"276" "D18" "B06" TRUE 4 "18"
"277" "E18" "C05" TRUE 5 "18"
"278" "F18" "C06" TRUE 6 "18"
"279" "G18" "D05" TRUE 7 "18"
"280" "H18" "D06" TRUE 8 "18"
"281" "I18" "E05" TRUE 9 "18"
"282" "J18" "E06" TRUE 10 "18"
"283" "K18" "F05" TRUE 11 "18"
"284" "L18" "F06" TRUE 12 "18"
"285" "M18" "G05" TRUE 13 "18"
"286" "N18" "G06" TRUE 14 "18"
"287" "O18" "H05" TRUE 15 "18"
"288" "P18" "B" FALSE 16 "18"
