"","source"
"1","A06"
"2","A06"
"3","A06"
"4","A06"
"5","A02"
"6","A02"
"7","A02"
"8","A02"
"9","B03"
"10","B03"
"11","B03"
"12","B03"
"13","H09"
"14","H09"
"15","H09"
"16","H09"
"17","A10"
"18","A10"
"19","A10"
"20","A10"
"21","D03"
"22","D03"
"23","D03"
"24","D03"
"25","C09"
"26","C09"
"27","C09"
"28","C09"
"29","A12"
"30","A12"
"31","A12"
"32","A12"
"33","E07"
"34","E07"
"35","E07"
"36","E07"
"37","H03"
"38","H03"
"39","H03"
"40","H03"
"41","D04"
"42","D04"
"43","D04"
"44","D04"
"45","B01"
"46","B01"
"47","B01"
"48","B01"
"49","A04"
"50","A04"
"51","A04"
"52","A04"
"53","E05"
"54","E05"
"55","E05"
"56","E05"
"57","C10"
"58","C10"
"59","C10"
"60","C10"
"61","A08"
"62","A08"
"63","A08"
"64","A08"
"65","H02"
"66","H02"
"67","H02"
"68","H02"
"69","C11"
"70","C11"
"71","C11"
"72","C11"
"73","D01"
"74","D01"
"75","D01"
"76","D01"
"77","C01"
"78","C01"
"79","C01"
"80","C01"
"81","E01"
"82","E01"
"83","E01"
"84","E01"
"85","G09"
"86","G09"
"87","G09"
"88","G09"
"89","C12"
"90","C12"
"91","C12"
"92","C12"
"93","G03"
"94","G03"
"95","G03"
"96","G03"
