"","source"
"1","E04"
"2","E04"
"3","E04"
"4","E04"
"5","E03"
"6","E03"
"7","E03"
"8","E03"
"9","D03"
"10","D03"
"11","D03"
"12","D03"
"13","E02"
"14","E02"
"15","E02"
"16","E02"
"17","E01"
"18","E01"
"19","E01"
"20","E01"
"21","D01"
"22","D01"
"23","D01"
"24","D01"
"25","D02"
"26","D02"
"27","D02"
"28","D02"
"29","D04"
"30","D04"
"31","D04"
"32","D04"
"33","H03"
"34","H03"
"35","H03"
"36","H03"
"37","H01"
"38","H01"
"39","H01"
"40","H01"
"41","H04"
"42","H04"
"43","H04"
"44","H04"
"45","H05"
"46","H05"
"47","H05"
"48","H05"
"49","H02"
"50","H02"
"51","H02"
"52","H02"
"53","B10"
"54","B10"
"55","B10"
"56","B10"
"57","F02"
"58","F02"
"59","F02"
"60","F02"
"61","G05"
"62","G05"
"63","G05"
"64","G05"
"65","C11"
"66","C11"
"67","C11"
"68","C11"
"69","C09"
"70","C09"
"71","C09"
"72","C09"
"73","C12"
"74","C12"
"75","C12"
"76","C12"
"77","H10"
"78","H10"
"79","H10"
"80","H10"
"81","C10"
"82","C10"
"83","C10"
"84","C10"
"85","A10"
"86","A10"
"87","A10"
"88","A10"
"89","D06"
"90","D06"
"91","D06"
"92","D06"
"93","G03"
"94","G03"
"95","G03"
"96","G03"
