Transfer,estimate_Intercept,estimate_Slope,p.value_Intercept,p.value_Slope
1,-0.0581621030198767,0.907475362982797,0.000232925301879249,1.05336810521489e-14
1,-0.0542513656468645,0.900068580003224,0.000722049108574815,1.5806416352165e-14
1,-0.0524195156010891,0.905982390252743,0.000634117937341878,1.15739653052983e-14
1,-0.0566892371169802,0.903335057926621,0.000539672969621979,4.00543924722466e-14
1,-0.0558937330089037,0.870383925924269,0.000728546306206217,1.59595690000407e-13
1,-0.0461641530789746,0.799631378443671,0.00436270963815466,3.70421843279525e-12
1,-0.0506879701760632,0.818011870328906,0.0031882739510853,5.38358228913516e-12
1,-0.0520306108266454,0.852656010282367,0.00110566953708944,2.51749319466016e-13
1,-0.0523888705414104,0.869284130512,0.00070248166084193,4.0578024368659e-14
1,-0.0508294226158081,0.829690330014924,0.00164609952968727,4.26808768132319e-13
1,-0.0416560471799479,0.773006173898792,0.0139700111393178,3.71749459118227e-11
1,-0.0576881774215324,0.964786599978101,0.000157236458842641,4.33035668267913e-16
1,-0.0489303894360971,0.840837282462263,0.0025077009772083,8.0456201259653e-13
1,-0.0493224088093112,0.822493008639732,0.00309574666508751,2.06005264709885e-12
1,-0.0511730004607552,0.890285396065865,0.000580900191316647,1.5541883930453e-14
1,-0.0510086888388845,0.847722685617173,0.00212291052709357,8.18727385012387e-13
1,-0.0547250074664089,0.907558676130714,0.000459045624720112,1.0948689058484e-14
1,-0.0526130653645503,0.892208960842806,0.00034703468112606,4.46080195487086e-15
1,-0.0446382796715252,0.760205018572073,0.00855511082954456,3.46845907232386e-11
1,-0.0416605964174353,0.747114294993044,0.0112852558974057,5.65303063928437e-11
1,-0.0469501308288375,0.826458894845453,0.00409769516129983,1.61508651949667e-12
1,-0.054895369456909,0.945825760537794,0.000255959111001735,6.66424695656373e-16
1,-0.04596838560235,0.788455820488847,0.00926245302606878,4.47606687254944e-11
1,-0.0476186439856095,0.839713388766615,0.00226913994529392,4.1275419787867e-13
1,-0.0467284972406404,0.808159268708873,0.00403679616217138,1.90325031504161e-12
1,-0.0538141879588061,0.862579412146878,0.000933606308630107,1.00366927859471e-13
1,-0.0483741240486656,0.818916359311525,0.00268957619936949,7.87609350405323e-13
1,-0.0444732294959354,0.799824052360803,0.00461589821639773,8.028494977334e-13
1,-0.0560192321633212,0.901060297395282,0.000331729238954189,4.16029520466313e-15
1,-0.048296104673741,0.843402480096129,0.00269970419847327,3.81244474914226e-13
1,-0.0556490887260464,0.940120533614773,0.000226419145487417,2.00449830072381e-15
1,-0.0527919445226519,0.860876553527663,0.00066630175446976,3.63770427358075e-14
1,-0.0520551003383395,0.870064113786351,0.000643759601315021,1.34571618533231e-14
1,-0.0431571210124658,0.796234701629105,0.00467254665290604,7.10015961454186e-13
1,-0.0559333732873637,0.922399879312641,0.000313122179672699,8.528617299092e-15
1,-0.0549536387767291,0.897578023758513,0.000525353397841678,2.99516768314548e-14
1,-0.0479417629454539,0.797953710976762,0.00254846317146808,7.43814217102597e-13
1,-0.0483350300126628,0.837221928287739,0.00249274793535498,3.73431150088558e-13
1,-0.0539082909229225,0.92828199143217,0.000413452156085086,1.34093909883281e-15
1,-0.0550657031248727,0.887069827215799,0.000612294331866279,4.86927388732899e-14
1,-0.0425269202690834,0.779777678867897,0.00712630941058166,5.50651870811256e-12
1,-0.0510755289353513,0.88181977070296,0.000902653501060332,1.7251851613002e-14
1,-0.0576607733524168,0.932210450313384,0.000290693255204016,9.10395451491073e-15
1,-0.0417209825653054,0.791717411937513,0.0108488427252821,2.43750840450964e-11
1,-0.0488152377040168,0.812805636273966,0.00224904189137675,1.35164252004061e-12
1,-0.0528665430008376,0.844814121852898,0.00201298107923624,6.28377557629419e-13
1,-0.0460059411926092,0.769316877558882,0.00387948041374285,6.13715543055329e-12
1,-0.0524710202746178,0.878971858391962,0.00107872265517495,3.33600393123196e-14
1,-0.0496350632034614,0.802827687698399,0.00315771287842594,7.30938602669905e-12
1,-0.0481294181552605,0.802190841964069,0.00465198975435548,8.42693717526338e-12
1,-0.0581177838713504,0.945332485879958,0.000127747572415091,3.7838801451299e-16
1,-0.0643549650690956,0.960508755578167,2.8814265607251e-05,2.31339959229787e-16
1,-0.0564595370749849,0.925109584261879,0.000280605538394138,2.87858207561219e-15
1,-0.0509226328977959,0.827401898034339,0.00258148495004911,2.85969177380937e-12
1,-0.0582042511461158,0.983563507677744,7.90664809688474e-05,1.5190245116318e-16
1,-0.0539830250699321,0.880213167324784,0.000659020040624117,3.29425873720081e-14
1,-0.0617594841399736,0.954554980207006,0.000131029270668676,1.15418651066448e-15
1,-0.0447822776678936,0.759358992882268,0.00714512765260229,3.16967584117671e-11
1,-0.0525389856498738,0.868961507140052,0.001004315494124,6.50306916126556e-14
1,-0.0464816060182608,0.792991060819017,0.00490935337829419,4.34789155375628e-12
1,-0.0546025506575821,0.89088599634653,0.000798703046055254,7.82475627040875e-14
1,-0.0544662934988052,0.892967828409576,0.000517183594607659,1.60086483138021e-14
1,-0.0541210125368034,0.927272999996895,0.000400110372908305,1.37080653085481e-15
1,-0.0509025441584611,0.882506495872139,0.000754819197552715,7.32156484589764e-15
1,-0.0556367515126465,0.905586312429961,0.000378970942713465,1.66985419488363e-14
1,-0.0491109740585901,0.826199551691787,0.00286150121241548,1.38419290296503e-12
