Transfer,Experiment,Media,Function,MeasurementReplicate
1,ctrl,A02,0.0808504267105854,1
1,ctrl,A02,0.0389279832310226,2
1,ctrl,A02,0.0389279832310226,3
1,ctrl,A04,0.0389279832310226,1
1,ctrl,A04,0.044916903728103,2
1,ctrl,A04,0.044916903728103,3
1,ctrl,A06,0.0568947447222638,1
1,ctrl,A06,0.0568947447222638,2
1,ctrl,A06,0.0568947447222638,3
1,ctrl,A08,0.0509058242251834,1
1,ctrl,A08,0.0509058242251834,2
1,ctrl,A08,0.0509058242251834,3
1,ctrl,A10,0.0389279832310226,1
1,ctrl,A10,0.0389279832310226,2
1,ctrl,A10,0.0568947447222638,3
1,ctrl,A12,0.0389279832310226,1
1,ctrl,A12,0.044916903728103,2
1,ctrl,A12,0.0509058242251834,3
1,ctrl,A01,0.0509058242251834,1
1,ctrl,A01,0.0509058242251834,2
1,ctrl,A01,0.0509058242251834,3
1,ctrl,B01,0.0568947447222638,1
1,ctrl,B01,0.194639916155113,2
1,ctrl,B01,0.0568947447222638,3
1,ctrl,B03,0.0509058242251834,1
1,ctrl,B03,0.044916903728103,2
1,ctrl,B03,0.0389279832310226,3
1,ctrl,B05,0.0389279832310226,1
1,ctrl,B05,0.0329390627339423,2
1,ctrl,B05,0.044916903728103,3
1,ctrl,B09,0.0568947447222638,1
1,ctrl,B09,0.0329390627339423,2
1,ctrl,B09,0.044916903728103,3
1,ctrl,B11,0.0389279832310226,1
1,ctrl,B11,0.044916903728103,2
1,ctrl,B11,0.0389279832310226,3
1,ctrl,H02,0.0568947447222638,1
1,ctrl,H02,0.0509058242251834,2
1,ctrl,H02,0.0509058242251834,3
1,ctrl,B02,0.128761790687229,1
1,ctrl,B02,0.0628836652193442,2
1,ctrl,B02,0.044916903728103,3
1,ctrl,B04,0.0509058242251834,1
1,ctrl,B04,0.044916903728103,2
1,ctrl,B04,0.044916903728103,3
1,ctrl,B06,0.0509058242251834,1
1,ctrl,B06,0.044916903728103,2
1,ctrl,B06,0.0509058242251834,3
1,ctrl,B08,0.0389279832310226,1
1,ctrl,B08,0.044916903728103,2
1,ctrl,B08,0.0389279832310226,3
1,ctrl,B10,0.0329390627339423,1
1,ctrl,B10,0.0269501422368618,2
1,ctrl,B10,0.0389279832310226,3
1,ctrl,B12,0.0389279832310226,1
1,ctrl,B12,0.044916903728103,2
1,ctrl,B12,0.044916903728103,3
1,ctrl,A03,0.0509058242251834,1
1,ctrl,A03,0.044916903728103,2
1,ctrl,A03,0.122772870190148,3
1,ctrl,C01,0.0628836652193442,1
1,ctrl,C01,0.140739631681389,2
1,ctrl,C01,0.044916903728103,3
