Transfer,Experiment,Media,MeanFunction,SdFunction,SeFunction
1,ctrl,A01,0.0509058242251834,0,0
1,ctrl,A02,0.0529021310575435,0.0242039340280125,0.0139741478265209
1,ctrl,A03,0.0728651993811449,0.0433249177306198,0.0250136529143917
1,ctrl,A04,0.0429205968957429,0.00345770486114464,0.00199630683236013
1,ctrl,A05,0.058891051554624,0.0192516859030652,0.0111149660384888
1,ctrl,A06,0.0568947447222638,0,0
1,ctrl,A07,0.0409242900633827,0.00345770486114464,0.00199630683236013
1,ctrl,A08,0.0509058242251834,0,0
1,ctrl,A09,0.0469132105604631,0.00345770486114464,0.00199630683236014
1,ctrl,A10,0.044916903728103,0.0103731145834339,0.0059889204970804
1,ctrl,A11,0.044916903728103,0.0059889204970804,0.00345770486114464
1,ctrl,A12,0.044916903728103,0.0059889204970804,0.00345770486114464
1,ctrl,B01,0.102809801866547,0.0795272118063267,0.0459150571442831
1,ctrl,B02,0.0788541198782253,0.0441450204870908,0.0254871394616034
1,ctrl,B03,0.044916903728103,0.0059889204970804,0.00345770486114464
1,ctrl,B04,0.0469132105604631,0.00345770486114464,0.00199630683236014
1,ctrl,B05,0.0389279832310226,0.00598892049708037,0.00345770486114462
1,ctrl,B06,0.0489095173928233,0.00345770486114464,0.00199630683236014
1,ctrl,B07,0.0359335229824824,0.00423480629547262,0.00299446024854017
1,ctrl,B08,0.0409242900633827,0.00345770486114464,0.00199630683236013
1,ctrl,B09,0.044916903728103,0.0119778409941608,0.00691540972228926
1,ctrl,B10,0.0329390627339422,0.0059889204970804,0.00345770486114464
1,ctrl,B11,0.0409242900633827,0.00345770486114464,0.00199630683236013
1,ctrl,B12,0.0429205968957429,0.00345770486114464,0.00199630683236013
1,ctrl,C01,0.0828467335429455,0.0509351732182386,0.0294074359687702
1,ctrl,C02,0.0728651993811449,0.0484078680560249,0.0279482956530419
1,ctrl,C03,0.0548984378899037,0.0124669321722781,0.00719778664563356
1,ctrl,C04,0.0409242900633827,0.00345770486114464,0.00199630683236013
1,ctrl,C05,0.0369316763986625,0.0034577048611446,0.00199630683236011
1,ctrl,C06,0.0868393472076658,0.0674917063607405,0.0389663548354407
1,ctrl,C07,0.044916903728103,0.0119778409941608,0.00691540972228926
1,ctrl,C08,0.074861506213505,0.0261050992276729,0.0150717860663188
